company,title,location,url
Perplexity AI,Account Executive,"San Francisco, California, United States; San Francisco; New York City",https://jobs.ashbyhq.com/Perplexity/acd466ba-536f-49da-968a-15b8c53298f8
Horizon3.ai,Partner Customer Success Manager,"United States; US, Remote",https://jobs.ashbyhq.com/horizon3ai/70833f2c-2bb7-489b-96c5-113a20c57508
Plaid,"Head of Engineering, Product, and Design (EPD) Strategic Finance","San Francisco, California, United States; San Francisco HQ; New York City Office",https://jobs.ashbyhq.com/plaid/568826e2-2abc-43ab-b01d-54cb709de273
SetPoint Medical,"Staff Accountant (Temp-to-Hire, Hybrid - Valencia, CA)",SetPoint Medical Valencia Office 25101 Rye Canyon Loop Valencia CA 91355 USA,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4149958
Databricks,Sr. Corporate Development Associate,"San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8426009002
Robinhood,Compliance Communications Team Lead,"Denver, CO; Lake Mary, FL; New York, NY",https://boards.greenhouse.io/robinhood/jobs/7904965?t=gh_src=&gh_jid=7904965
Zuoyebang Education Technology,极星19F！下午到就行！,重庆 渝中区,https://www.zhaopin.com/jobdetail/CC287198080J40863335114.htm
Zuoyebang Education Technology,化龙桥-作业帮重庆总部直招！下午半天班,重庆 渝中区,https://www.zhaopin.com/jobdetail/CC287198080J40863292814.htm
Zuoyebang Education Technology,高中课程顾问，销售岗，需要打电话，高薪资（均薪1w）！！,西安 雁塔区,https://www.zhaopin.com/jobdetail/CC287198080J40863219714.htm
Zuoyebang Education Technology,下午2点到-半天班8500起,重庆 渝中区,https://www.zhaopin.com/jobdetail/CC287198080J40832955414.htm
Omada Health,Customer Success Associate - SMB,"Remote, USA",https://job-boards.greenhouse.io/omadahealth/jobs/7905540
Radiology Partners,PreImaging Services Representative | Hybrid Schedule,"East Hartford, CT",https://indeed.com/cmp/Radiology-Partners/jobs?jk=dd6e61a708359009
Databricks,Solutions Architect - Public Sector (SLED),"Austin, Texas; Dallas, Texas; Houston, Texas",https://databricks.com/company/careers/open-positions/job?gh_jid=8522044002
Robinhood,Testing and Monitoring Specialist,"Denver, CO",https://boards.greenhouse.io/robinhood/jobs/7896142?t=gh_src=&gh_jid=7896142
Databricks,Senior Customer Enablement Program Manager,United States,https://databricks.com/company/careers/open-positions/job?gh_jid=8535311002
Robinhood,"Customer Experience Manager, Core Services","Denver, CO; Westlake, TX",https://boards.greenhouse.io/robinhood/jobs/7917873?t=gh_src=&gh_jid=7917873
Echodyne,Material Handler (Multiple Shifts),"Kirkland, WA",https://job-boards.greenhouse.io/echodynecorp/jobs/4680628006
Databricks,Resident Solutions Architect,Remote - India,https://databricks.com/company/careers/open-positions/job?gh_jid=8362737002
Valarian,Brand Designer,London,https://jobs.lever.co/valarian/8e95c75a-3725-4e40-b282-b5a8bf7ebd8a
